what are the seven wonders of the world,"The Great Wall of China, The Taj Mahal, Petra, The Colosseum, Christ the Redeemer, Chichen Itza, Machu Picchu"
how many wonders of the world are there,There are seven wonders of the world
what are the original seven wonders of the world,"The Great Pyramid of Giza, The Hanging Gardens of Babylon, The Statue of Zues at Olympia, The Temple of Artemis at Ephesus, The Mauloseum at Halicarnasses, The Colossus of Rhodes, The Lighthouse of Alexandria"
what are the seven natural wonders of the world,"Paricutin Volcano Mexico, Victoria Falls, Mount Evarest, The Great Barrier Reef, The Grand Canyon, Harbor of Rio deJaneiro, Aurora Borealis( Northern lights)"
how many of the original seven wonders still exists,The only ancient wonder that has survived to this day is the Great Pyramid of Giza. The other six are in ruins or have vanished altogether.
where is the Great wall of China,The Great Wall of China is in the China. Fun fact: the  great wall of China is the longest wall in the world.
where is the Taj Mahal,The Taj Mahal is in India
what is Petra,Petra is an ancient city in Jordan that was carved into Rock
what was the Collosseum used for,The Colosseum in Italy was used for Gladiator fights.
Tell me about Christ the Redeemer,"Christ the Redeemer is a statue located at the summit of Corcovado Mountain overlooking Rio de Janeiro in Brazil. The statue shows Jesus Christ with his arms spread out over the city. The statue is 30 metres tall, with an arm span of the statue is 28 metres! The structure is the newest wonder, having been completed in 1931"
what are the seven wonders of the world,"The Great Wall of China, The Taj Mahal, Petra, The Colosseum, Christ the Redeemer, Chichen Itza, Machu Picchu"